Time,Extension,Load,Tensile stress,Tensile strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.77403","-0.07011","0.00000"
"0.01600","0.00000","-0.71579","-0.06484","0.00000"
"0.03200","0.00000","-0.77625","-0.07031","0.00000"
"0.04800","0.00000","-0.65445","-0.05928","0.00000"
"0.06400","0.00000","-0.67051","-0.06073","0.00000"
"0.08000","0.00000","-0.70503","-0.06386","0.00000"
"0.09600","0.00012","-0.64592","-0.05851","0.00000"
"0.11200","0.00019","-0.45685","-0.04138","0.00001"
"0.12800","0.00025","-0.21301","-0.01929","0.00001"
"0.14400","0.00037","0.56847","0.05149","0.00001"
"0.16000","0.00056","1.64258","0.14878","0.00002"
"0.17600","0.00075","3.31162","0.29997","0.00003"
"0.19200","0.00100","5.85538","0.53038","0.00004"
"0.20800","0.00125","8.92164","0.80812","0.00005"
"0.22400","0.00144","11.92821","1.08045","0.00006"
"0.24000","0.00156","14.67199","1.32898","0.00006"
"0.25600","0.00175","17.02196","1.54184","0.00007"
"0.27200","0.00187","19.13012","1.73280","0.00007"
"0.28800","0.00200","21.08837","1.91018","0.00008"
"0.30400","0.00219","22.90824","2.07502","0.00009"
"0.32000","0.00237","24.86398","2.25217","0.00009"
"0.33600","0.00250","26.91321","2.43779","0.00010"
"0.35200","0.00269","29.05744","2.63201","0.00011"
"0.36800","0.00287","31.45573","2.84925","0.00011"
"0.38400","0.00312","33.95572","3.07570","0.00012"
"0.40000","0.00331","36.55995","3.31159","0.00013"
"0.41600","0.00350","39.04277","3.53648","0.00014"
"0.43200","0.00369","41.70139","3.77730","0.00015"
"0.44800","0.00387","44.27747","4.01064","0.00015"
"0.46400","0.00406","46.72412","4.23226","0.00016"
"0.48000","0.00419","48.84187","4.42408","0.00016"
"0.49600","0.00431","50.71574","4.59382","0.00017"
"0.51200","0.00444","52.59183","4.76375","0.00017"
"0.52800","0.00456","54.24350","4.91336","0.00018"
"0.54400","0.00469","55.83799","5.05779","0.00018"
"0.56000","0.00481","57.42014","5.20110","0.00019"
"0.57600","0.00494","58.92195","5.33713","0.00019"
"0.59200","0.00506","60.58925","5.48816","0.00020"
"0.60800","0.00519","62.10360","5.62533","0.00020"
"0.62400","0.00531","63.66713","5.76695","0.00021"
"0.64000","0.00544","65.35709","5.92003","0.00021"
"0.65600","0.00562","67.09720","6.07764","0.00022"
"0.67200","0.00581","68.82304","6.23397","0.00023"
"0.68800","0.00594","70.67145","6.40140","0.00023"
"0.70400","0.00612","72.82864","6.59680","0.00024"
"0.72000","0.00625","75.10716","6.80318","0.00025"
"0.73600","0.00644","77.30669","7.00242","0.00025"
"0.75200","0.00656","79.17150","7.17133","0.00026"
"0.76800","0.00669","80.98316","7.33543","0.00026"
"0.78400","0.00681","82.63657","7.48520","0.00027"
"0.80000","0.00687","84.11736","7.61933","0.00027"
"0.81600","0.00700","85.31772","7.72805","0.00028"
"0.83200","0.00706","86.45490","7.83106","0.00028"
"0.84800","0.00719","87.50742","7.92640","0.00028"
"0.86400","0.00725","88.79726","8.04323","0.00029"
"0.88000","0.00737","90.03358","8.15522","0.00029"
"0.89600","0.00750","91.17144","8.25828","0.00030"
"0.91200","0.00756","92.38693","8.36838","0.00030"
"0.92800","0.00769","93.68121","8.48562","0.00030"
"0.94400","0.00781","95.12449","8.61635","0.00031"
"0.96000","0.00794","96.60595","8.75054","0.00031"
"0.97600","0.00806","98.06938","8.88310","0.00032"
"0.99200","0.00819","99.76272","9.03648","0.00032"
